Symbol,Price~,Type,Strike,Expires,DTE,"Bid x Size","Ask x Size",Trade,Size,Side,Premium,Volume,"Open Int",IV,Delta,Code,*,Time
RKLB,103.33,Call,115,2026-06-18T16:30:00-05:00,2,"1.04 x 84","1.17 x 50",1.11,243,mid,26900,11141,9177,143.56%,0.17054288715092,MLET,N/A,"10:01:50 ET"
RKLB,108.01,Put,70,2026-07-17T16:30:00-05:00,31,"0.63 x 186","1.10 x 156",0.9,295,mid,26500,451,3770,103.72%,-0.0552857427,MLET,N/A,"09:30:17 ET"
RKLB,103.96,Put,98,2026-06-18T16:30:00-05:00,2,"1.67 x 229","1.70 x 15",1.67,152,bid,25300,528,679,135.98%,-0.2615117887,AUTO,N/A,"10:22:38 ET"
RKLB,105.5,Call,115,2026-06-18T16:30:00-05:00,2,"1.65 x 62","1.92 x 96",1.8,140,mid,25200,5600,9177,145.80%,0.228679188848,MLET,N/A,"09:39:56 ET"
RKLB,104.175,Call,200,2026-08-21T16:30:00-05:00,66,"2.17 x 235","2.18 x 101",2.17,113,bid,24500,247,430,106.17%,0.11426854129328,ISOI,N/A,"09:54:16 ET"
RKLB,104.76,Call,115,2026-06-18T16:30:00-05:00,2,"1.22 x 27","1.33 x 141",1.26,186,mid,23400,18760,9177,145.67%,0.20918293362874,AUTO,N/A,"10:20:08 ET"
RKLB,103.33,Call,120,2026-06-18T16:30:00-05:00,2,"0.55 x 44","0.60 x 38",0.57,411,mid,23400,12104,14415,145.71%,0.091607084423908,MLAT,N/A,"10:01:09 ET"
RKLB,105.82,Put,100,2026-06-18T16:30:00-05:00,2,"1.68 x 35","1.75 x 133",1.75,133,ask,23200,1990,6185,131.70%,-0.264060603,AUTO,N/A,"10:41:48 ET"
RKLB,103.33,Call,115,2026-06-18T16:30:00-05:00,2,"1.06 x 63","1.16 x 33",1.16,200,ask,23100,11141,9177,143.56%,0.17054288715092,MLET,N/A,"10:02:39 ET"
RKLB,103.33,Call,120,2026-06-18T16:30:00-05:00,2,"0.54 x 32","0.59 x 59",0.56,411,mid,23000,12104,14415,145.71%,0.091607084423908,MLAT,N/A,"10:02:22 ET"
RKLB,103.33,Call,120,2026-06-18T16:30:00-05:00,2,"0.55 x 34","0.60 x 128",0.56,411,mid,23000,12104,14415,145.71%,0.091607084423908,MLAT,N/A,"10:01:15 ET"
RKLB,103.33,Call,120,2026-06-18T16:30:00-05:00,2,"0.53 x 59","0.59 x 89",0.56,411,mid,23000,12104,14415,145.71%,0.091607084423908,MLAT,N/A,"10:01:34 ET"
RKLB,105.175,Call,115,2026-06-18T16:30:00-05:00,2,"1.15 x 60","1.15 x 84",1.15,200,ask,22900,20963,9177,135.93%,0.20174650179855,AUTO,N/A,"11:24:14 ET"
RKLB,105.1251,Call,112,2026-06-18T16:30:00-05:00,2,"1.67 x 60","1.79 x 20",1.74,132,mid,22900,488,825,133.11%,0.27701437085823,MLAT,N/A,"11:22:05 ET"
RKLB,107.62,Call,120,2026-06-18T16:30:00-05:00,2,"0.93 x 254","1.05 x 22",0.99,229,mid,22600,1788,14415,148.88%,0.17586720765771,MLET,N/A,"09:39:24 ET"
